Rowid_,CELL_ID,COUNT,AREA,MAX
,101,2,5000.000000000000000,1
,266,2,5000.000000000000000,4
,433,2,5000.000000000000000,1
,574,2,5000.000000000000000,2
,575,2,5000.000000000000000,2
,576,1,2500.000000000000000,2
,592,1,2500.000000000000000,2
,593,2,5000.000000000000000,2
,594,2,5000.000000000000000,2
,595,1,2500.000000000000000,2
,599,2,5000.000000000000000,4
,764,1,2500.000000000000000,1
,765,2,5000.000000000000000,1
,904,2,5000.000000000000000,2
,905,2,5000.000000000000000,2
,906,2,5000.000000000000000,2
,909,1,2500.000000000000000,2
,910,2,5000.000000000000000,2
,924,1,2500.000000000000000,2
,925,1,2500.000000000000000,2
,928,1,2500.000000000000000,2
,929,2,5000.000000000000000,2
,931,1,2500.000000000000000,4
,932,1,2500.000000000000000,4
,1096,2,5000.000000000000000,1
,1097,1,2500.000000000000000,1
,1226,2,5000.000000000000000,2
,1232,1,2500.000000000000000,2
,1233,2,5000.000000000000000,2
,1234,2,5000.000000000000000,2
,1235,2,5000.000000000000000,2
,1236,2,5000.000000000000000,2
,1243,1,2500.000000000000000,2
,1244,2,5000.000000000000000,2
,1245,2,5000.000000000000000,2
,1246,2,5000.000000000000000,2
,1247,1,2500.000000000000000,2
,1256,1,2500.000000000000000,2
,1257,1,2500.000000000000000,2
,1263,3,7500.000000000000000,4
,1264,1,2500.000000000000000,4
,1428,2,5000.000000000000000,1
,1517,2,5000.000000000000000,1
,1518,2,5000.000000000000000,1
,1519,2,5000.000000000000000,1
,1520,1,2500.000000000000000,1
,1556,1,2500.000000000000000,2
,1557,2,5000.000000000000000,2
,1558,2,5000.000000000000000,2
,1560,2,5000.000000000000000,2
,1564,2,5000.000000000000000,2
,1565,1,2500.000000000000000,2
,1580,2,5000.000000000000000,2
,1588,2,5000.000000000000000,2
,1589,1,2500.000000000000000,2
,1595,2,5000.000000000000000,4
,1761,2,5000.000000000000000,1
,1847,2,5000.000000000000000,1
,1849,1,2500.000000000000000,1
,1850,1,2500.000000000000000,1
,1853,1,2500.000000000000000,1
,1854,2,5000.000000000000000,1
,1855,1,2500.000000000000000,1
,1856,2,5000.000000000000000,1
,1857,1,2500.000000000000000,1
,1888,2,5000.000000000000000,2
,1889,2,5000.000000000000000,2
,1893,2,5000.000000000000000,2
,1894,2,5000.000000000000000,2
,1895,2,5000.000000000000000,2
,1896,2,5000.000000000000000,2
,1913,1,2500.000000000000000,2
,1914,2,5000.000000000000000,2
,1915,2,5000.000000000000000,2
,1916,2,5000.000000000000000,2
,1917,2,5000.000000000000000,2
,1918,2,5000.000000000000000,2
,1919,2,5000.000000000000000,2
,1920,2,5000.000000000000000,2
,1927,2,5000.000000000000000,4
,2089,3,7500.000000000000000,1
,2090,2,5000.000000000000000,1
,2091,2,5000.000000000000000,1
,2092,2,5000.000000000000000,1
,2093,2,5000.000000000000000,1
,2178,2,5000.000000000000000,1
,2179,2,5000.000000000000000,1
,2181,2,5000.000000000000000,1
,2182,1,2500.000000000000000,1
,2188,1,2500.000000000000000,1
,2190,1,2500.000000000000000,1
,2191,2,5000.000000000000000,1
,2192,2,5000.000000000000000,1
,2193,1,2500.000000000000000,1
,2220,2,5000.000000000000000,2
,2222,1,2500.000000000000000,2
,2259,1,2500.000000000000000,4
,2260,1,2500.000000000000000,4
,2421,2,5000.000000000000000,1
,2509,1,2500.000000000000000,1
,2510,2,5000.000000000000000,1
,2511,1,2500.000000000000000,1
,2526,2,5000.000000000000000,1
,2553,2,5000.000000000000000,2
,2591,1,2500.000000000000000,4
,2592,1,2500.000000000000000,4
,2753,1,2500.000000000000000,1
,2842,2,5000.000000000000000,1
,2859,2,5000.000000000000000,1
,2882,2,5000.000000000000000,2
,2883,2,5000.000000000000000,2
,2884,1,2500.000000000000000,2
,2886,2,5000.000000000000000,2
,2923,2,5000.000000000000000,4
,2924,1,2500.000000000000000,4
,3175,2,5000.000000000000000,1
,3191,2,5000.000000000000000,1
,3215,2,5000.000000000000000,2
,3217,1,2500.000000000000000,2
,3218,2,5000.000000000000000,2
,3255,1,2500.000000000000000,4
,3256,1,2500.000000000000000,4
,3508,2,5000.000000000000000,1
,3524,1,2500.000000000000000,1
,3525,1,2500.000000000000000,1
,3548,2,5000.000000000000000,2
,3587,2,5000.000000000000000,4
,3588,1,2500.000000000000000,4
,3841,2,5000.000000000000000,1
,3858,2,5000.000000000000000,1
,3879,2,5000.000000000000000,2
,3880,1,2500.000000000000000,2
,3881,2,5000.000000000000000,2
,3917,2,5000.000000000000000,4
,3918,2,5000.000000000000000,4
,3919,2,5000.000000000000000,4
,4173,1,2500.000000000000000,1
,4174,1,2500.000000000000000,1
,4191,2,5000.000000000000000,1
,4211,2,5000.000000000000000,2
,4213,1,2500.000000000000000,2
,4248,2,5000.000000000000000,4
,4249,2,5000.000000000000000,4
,4506,2,5000.000000000000000,1
,4523,2,5000.000000000000000,1
,4543,2,5000.000000000000000,2
,4544,1,2500.000000000000000,2
,4579,1,2500.000000000000000,4
,4580,2,5000.000000000000000,4
,4839,2,5000.000000000000000,1
,4856,2,5000.000000000000000,1
,4875,2,5000.000000000000000,2
,4910,1,2500.000000000000000,4
,4911,2,5000.000000000000000,4
,4912,1,2500.000000000000000,4
,5171,2,5000.000000000000000,1
,5189,2,5000.000000000000000,1
,5190,2,5000.000000000000000,1
,5191,2,5000.000000000000000,1
,5192,2,5000.000000000000000,1
,5207,1,2500.000000000000000,1
,5208,2,5000.000000000000000,2
,5209,1,2500.000000000000000,1
,5242,1,2500.000000000000000,4
,5243,1,2500.000000000000000,4
,5504,2,5000.000000000000000,1
,5526,2,5000.000000000000000,1
,5538,2,5000.000000000000000,1
,5539,2,5000.000000000000000,1
,5540,1,2500.000000000000000,1
,5542,2,5000.000000000000000,1
,5574,2,5000.000000000000000,4
,5575,1,2500.000000000000000,4
,5837,2,5000.000000000000000,1
,5860,2,5000.000000000000000,1
,5870,2,5000.000000000000000,1
,5875,2,5000.000000000000000,1
,5906,1,2500.000000000000000,4
,5907,1,2500.000000000000000,4
,5992,1,2500.000000000000000,1
,5993,2,5000.000000000000000,1
,5994,2,5000.000000000000000,1
,6169,1,2500.000000000000000,1
,6170,1,2500.000000000000000,1
,6194,2,5000.000000000000000,1
,6195,2,5000.000000000000000,1
,6196,2,5000.000000000000000,1
,6197,2,5000.000000000000000,1
,6200,1,2500.000000000000000,1
,6201,2,5000.000000000000000,1
,6202,2,5000.000000000000000,1
,6207,2,5000.000000000000000,1
,6208,1,2500.000000000000000,1
,6239,2,5000.000000000000000,4
,6308,1,2500.000000000000000,1
,6309,2,5000.000000000000000,1
,6310,2,5000.000000000000000,1
,6311,2,5000.000000000000000,1
,6312,2,5000.000000000000000,1
,6313,2,5000.000000000000000,1
,6314,1,2500.000000000000000,1
,6322,1,2500.000000000000000,1
,6323,2,5000.000000000000000,1
,6324,2,5000.000000000000000,1
,6325,1,2500.000000000000000,1
,6502,2,5000.000000000000000,1
,6531,2,5000.000000000000000,1
,6532,2,5000.000000000000000,1
,6533,1,2500.000000000000000,1
,6539,2,5000.000000000000000,1
,6571,2,5000.000000000000000,4
,6640,1,2500.000000000000000,1
,6641,1,2500.000000000000000,1
,6647,1,2500.000000000000000,1
,6648,2,5000.000000000000000,1
,6649,2,5000.000000000000000,1
,6650,2,5000.000000000000000,1
,6651,2,5000.000000000000000,1
,6652,2,5000.000000000000000,1
,6653,2,5000.000000000000000,1
,6654,2,5000.000000000000000,1
,6655,1,2500.000000000000000,1
,6834,1,2500.000000000000000,1
,6835,1,2500.000000000000000,1
,6871,1,2500.000000000000000,1
,6872,1,2500.000000000000000,1
,6904,2,5000.000000000000000,4
,7167,2,5000.000000000000000,1
,7203,2,5000.000000000000000,1
,7204,1,2500.000000000000000,1
,7237,2,5000.000000000000000,4
,7500,2,5000.000000000000000,1
,7534,2,5000.000000000000000,1
,7535,2,5000.000000000000000,1
,7570,2,5000.000000000000000,4
,7833,2,5000.000000000000000,1
,7866,2,5000.000000000000000,1
,7902,2,5000.000000000000000,4
,8165,2,5000.000000000000000,1
,8198,2,5000.000000000000000,1
,8234,1,2500.000000000000000,4
,8235,2,5000.000000000000000,4
,8498,2,5000.000000000000000,1
,8530,2,5000.000000000000000,1
,8567,2,5000.000000000000000,4
,8829,1,2500.000000000000000,1
,8830,2,5000.000000000000000,1
,8862,2,5000.000000000000000,1
